id,title,description,date,stage,image_url
1,Natalie Williams' Soul Family,Soul at its best: Natalie Williams hosts the monthly Soul Family with her regular singers and special guests.,Sun 19 May - Sun 21 Jul 2024,Main Show,https://cdn.ronniescotts.co.uk/uploads/_listing_image/269415/Soul-Family-24.webp?v=1696604353
2,Sunday Live Music Sessions: Brass Volcanoes New Orleans Grooves,London's most joyful and spirited New Orleans style brass jazz band.,Sun 19 May 2024,Upstairs @ Ronnie's,https://cdn.ronniescotts.co.uk/uploads/_listing_image/572386/brass-volcanoes-24_2024-03-07-111546_ediq.webp?v=1709810150
3,Bill Evans & the Vansband All Stars,"Inventive, contemporary, and masterful. These are some of the words that have been used to describe the musicians in this “one of a kind“ group assembled by renaissance saxophonist, Bill Evans.",Mon 20 - Tue 21 May 2024,Main Show,https://cdn.ronniescotts.co.uk/uploads/_listing_image/508818/Bill-Evans-VanBand24.webp?v=1707501607
4,Voodoo Lounge,Bluesey New Orleans infused gumbo to classic standards with Tim Penn and Chris Proctor.,Mon 20 May - Mon 17 Jun 2024,Upstairs @ Ronnie's,https://cdn.ronniescotts.co.uk/uploads/_listing_image/4797/RS_VoodooLounge_02_2023-07-03-101306_dvmf.webp?v=1689757216
5,Ruby Sings,Ruby Sings is a weekly night Upstairs@ronnie’s featuring entirely new music by unsigned musicians and bands.,Tue 21 May - Tue 23 Jul 2024,Upstairs @ Ronnie's,https://cdn.ronniescotts.co.uk/uploads/_listing_image/4108/Ruby-Sings-N23.webp?v=1689757199
6,Late Late Electronic hosted by Intervention,"With their poetic lyrics, uplifting rhythms and harmonious synth-infused soundscapes, Intervention invite the audience to experience their unique world.",Tue 21 May 2024,Late Late Show,https://cdn.ronniescotts.co.uk/uploads/_listing_image/692778/Intervention2-w-logo.webp?v=1715852298
7,Ed Richardson Big Band featuring special guest vocalist Kurt Elling,Popular big band leader Ed Richardson is back with two time Grammy Award winning vocalist Kurt Elling.,Wed 22 May 2024,Main Show,https://cdn.ronniescotts.co.uk/uploads/_listing_image/482695/Ed-RichardsonKurt24.webp?v=1706292038
8,Braziliance,Sultry Brazilian vocalist Luna Cohen teams up with Brazilian-American guitarist Rapha Grumser.,Wed 22 May - Wed 10 Jul 2024,Upstairs @ Ronnie's,https://cdn.ronniescotts.co.uk/uploads/_listing_image/232037/Braziliance_2023-09-19-161529_gzql.webp?v=1695140276
9,Ronnie Scott's Jazz Jam,Ebullient trumpeter Andy Davies hosts this popular high-level session with guest Ross Stanley Quartet.,Wed 22 May - Wed 10 Jul 2024,Upstairs @ Ronnie's,https://cdn.ronniescotts.co.uk/uploads/_listing_image/4799/RS_JazzJam_01.webp?v=1689757348
10,Late Late Show hosted by Alex Western-King,Alex Western-King is an award-winning musician who is generally considered to be one of the most talented saxophonists of his generation.,Wed 22 May - Wed 24 Jul 2024,Late Late Show,https://cdn.ronniescotts.co.uk/uploads/_listing_image/4537/Alex-Western-King-N23.webp?v=1689757417
11,Redtenbacher’s Funkestra presents Soul Picnic!,"Great songs re-interpreted by Rumer, Amba Tremain, Mim Grey and Jo Harman brought together by Stefan Redtenbacher.",Thu 23 May 2024,Main Show,https://cdn.ronniescotts.co.uk/uploads/_listing_image/508778/Funkestra24.webp?v=1707501608
12,Two for the Road,A dialogue of musical artistry with John Parricelli and Mark Lockheart.,Thu 23 May 2024,Upstairs @ Ronnie's,https://cdn.ronniescotts.co.uk/uploads/_listing_image/179864/RS_TFTR_02_2023-08-24-165234_tswf.webp?v=1692896139
13,Cosmic Fusion,"UK Drummer Jon Onabowu has put together a group of young, talented and fired-up musicians ready to explore the full potential of their musical abilities, providing a thrilling night of intense fusion.",Thu 23 May - Thu 25 Jul 2024,Upstairs @ Ronnie's,https://cdn.ronniescotts.co.uk/uploads/_listing_image/4823/RS_CF_02.webp?v=1689757170
14,Late Late show hosted by Myele Manzanza,"Having established himself as one of the most energetic and exciting Jazz musicians within the already thriving worldwide scene, New Zealand born, London based drummer & producer Myele Manzanza has made a major impact upon the global music landscape.",Thu 23 May - Thu 25 Jul 2024,Late Late Show,https://cdn.ronniescotts.co.uk/uploads/_listing_image/4544/Myele-Manzanza-N23.webp?v=1689757209
15,Ilhan Ersahin's Istanbul Sessions,"Their rhythms elaborate on the simple action of our feet working the pavement. Our bodies in cities — scrabbling crosstown, slipping past each other and our vehicles, weaving in and out of infrastructure, shooting energy around — are clarified and wound together on these records. Medium.com",Fri 24 - Sat 25 May 2024,Main Show,https://cdn.ronniescotts.co.uk/uploads/_listing_image/508291/ISTANBUL-SESSIONS24.webp?v=1707501685
16,Viva Cuba!,A sensational evening of Cuban music that cannot fail to propel you to the dance floor - Live band and DJ.,Fri 24 May - Fri 26 Jul 2024,Upstairs @ Ronnie's,https://cdn.ronniescotts.co.uk/uploads/_listing_image/108187/RS_VivaCuba_01_2023-07-19-105415_clyo.webp?v=1689765148
17,Late Late Show with The Boom Yeh,"A London powerhouse of jazz-funk, Afro-beat, rock and global rhythms.",Fri 24 - Sat 25 May 2024,Late Late Show,https://cdn.ronniescotts.co.uk/uploads/_listing_image/274991/LLS-The-Boom-Yeh-LLS-24.webp?v=1696939132
18,Funky Nation,"Our weekly 'Funky Nation' DJ night. Expect the usual mix of jazz, funk, soul, rare groove and house with Mike Vitti plus guests.",Sat 25 May - Sat 27 Jul 2024,Upstairs @ Ronnie's,https://cdn.ronniescotts.co.uk/uploads/_listing_image/4228/Mike-Vitti-N23.webp?v=1689757171
